PUPIL_NUMBER	LEGAL_RES_DIST_CODE	COUNTY
236328	2043	15
236339	2043	15
238963	2043	15
244457	2043	15
237943	2043	15
237944	2043	15
237945	2043	15
237574	2043	15
237892	2043	15
238494	2043	15
237511	2043	15
237649	2043	15
236471	2043	15
236493	2043	15
235920	2043	15
238042	2043	15
238068	2043	15
238073	2043	15
237730	2043	15
237731	2043	15
237732	2043	15
237733	2043	15
237734	2043	15
237735	2043	15
237915	2043	15
238556	2043	15
243610	2043	15
237736	2043	15
237737	2043	15
237738	2043	15
237746	2043	15
237747	2043	15
236508	2043	15
236745	2055	15
237795	2043	15
237805	2043	15
237806	2043	15
237631	2043	15
237641	2043	15
237650	2043	15
236700	2043	15
236720	2043	15
237830	2043	15
237836	2043	15
237835	2043	15
246284	2043	15
248670	2043	15
248680	2043	15
248683	2043	15
246855	2043	15
245399	2043	15
245404	2043	15
245411	2043	15
245413	2043	15
249050	2043	15
249701	2043	15
249706	2043	15
250402	2043	15
246072	2043	15
249046	2043	15
246916	2043	15
236060	2043	15
249053	2043	15
249700	2043	15
245393	2043	15
245398	2043	15
252769	2043	15
226560	2043	15
235012	2043	15
249049	2043	15
246688	2043	15
252528	2043	15
111479	2043	15
235015	2043	15
250514	2043	15
235022	2043	15
235025	2043	15
235027	2043	15
235031	2043	15
235032	2043	15
252543	2043	15
238655	2043	15
238685	2043	15
238713	2043	15
245414	2043	15
235561	2043	15
236252	2043	15
236259	2043	15
236260	2043	15
236265	2043	
111899	2043	15
236040	2043	15
236111	2043	15
243622	2043	15
246358	2043	15
245858	2043	15
252341	2043	15
253264	2043	15
247624	2043	15
251374	2043	15
249996	2043	15
250019	2043	15
246713	2043	15
246714	2043	15
251373	2043	15
252529	2043	15
251630	2043	15
253230	2043	15
251287	2043	15
251293	2043	15
245463	2043	15
245476	2043	15
235046	2043	15
246746	2043	15
246748	2043	15
252852	2043	15
252880	2043	15
245888	2043	15
252669	2043	15
252919	2043	15
253023	2043	15
251578	2043	15
251582	2043	15
251592	2043	15
235033	2043	15
226584	2043	15
250868	2043	15
250891	2043	15
250898	2043	15
249465	2043	15
249466	2043	15
249467	2043	15
252712	2043	15
252714	2043	15
235034	2043	15
252765	2043	15
